ma_nganh,ten_nganh,phuong_thuc,ghi_chu
7580101,Kiến trúc,THPT,
7580101,Kiến trúc,Học bạ,
7580101,Kiến trúc,TSA/SPT/V-SAT,
7580101,Kiến trúc,Tuyển thẳng/Ưu tiên,
7580101_02,Kiến trúc/ Kiến trúc công nghệ,THPT,
7580101_02,Kiến trúc/ Kiến trúc công nghệ,Học bạ,
7580101_02,Kiến trúc/ Kiến trúc công nghệ,TSA/SPT/V-SAT,
7580101_02,Kiến trúc/ Kiến trúc công nghệ,Tuyển thẳng/Ưu tiên,
7580102,Kiến trúc cảnh quan,THPT,
7580102,Kiến trúc cảnh quan,Học bạ,
7580102,Kiến trúc cảnh quan,TSA/SPT/V-SAT,
7580102,Kiến trúc cảnh quan,Tuyển thẳng/Ưu tiên,
7580103,Kiến trúc nội thất,THPT,
7580103,Kiến trúc nội thất,Học bạ,
7580103,Kiến trúc nội thất,TSA/SPT/V-SAT,
7580103,Kiến trúc nội thất,Tuyển thẳng/Ưu tiên,
7580105,Quy hoạch vùng và đô thị,THPT,
7580105,Quy hoạch vùng và đô thị,Học bạ,
7580105,Quy hoạch vùng và đô thị,TSA/SPT/V-SAT,
7580105,Quy hoạch vùng và đô thị,Tuyển thẳng/Ưu tiên,
7210110,Mỹ thuật Đô thị,THPT,
7210110,Mỹ thuật Đô thị,Học bạ,
7210110,Mỹ thuật Đô thị,TSA/SPT/V-SAT,
7210110,Mỹ thuật Đô thị,Tuyển thẳng/Ưu tiên,
7210402,Thiết kế công nghiệp,THPT,
7210402,Thiết kế công nghiệp,Học bạ,
7210402,Thiết kế công nghiệp,TSA/SPT/V-SAT,
7210402,Thiết kế công nghiệp,Tuyển thẳng/Ưu tiên,
7210403,Thiết kế đồ hoạ,THPT,
7210403,Thiết kế đồ hoạ,Học bạ,
7210403,Thiết kế đồ hoạ,TSA/SPT/V-SAT,
7210403,Thiết kế đồ hoạ,Tuyển thẳng/Ưu tiên,
7210404,Thiết kế thời trang,THPT,
7210404,Thiết kế thời trang,Học bạ,
7210404,Thiết kế thời trang,TSA/SPT/V-SAT,
7210404,Thiết kế thời trang,Tuyển thẳng/Ưu tiên,
7580201,Kỹ thuật xây dựng,THPT,
7580201,Kỹ thuật xây dựng,Học bạ,
7580201,Kỹ thuật xây dựng,TSA/SPT/V-SAT,
7580201,Kỹ thuật xây dựng,Tuyển thẳng/Ưu tiên,
7580201_01,Kỹ thuật xây dựng/ Xây dựng Dân dụng và Công nghiệp,THPT,
7580201_01,Kỹ thuật xây dựng/ Xây dựng Dân dụng và Công nghiệp,Học bạ,
7580201_01,Kỹ thuật xây dựng/ Xây dựng Dân dụng và Công nghiệp,TSA/SPT/V-SAT,
7580201_01,Kỹ thuật xây dựng/ Xây dựng Dân dụng và Công nghiệp,Tuyển thẳng/Ưu tiên,
7580201_02,Kỹ thuật xây dựng/ Hệ thống kỹ thuật trong công trình,THPT,
7580201_02,Kỹ thuật xây dựng/ Hệ thống kỹ thuật trong công trình,Học bạ,
7580201_02,Kỹ thuật xây dựng/ Hệ thống kỹ thuật trong công trình,TSA/SPT/V-SAT,
7580201_02,Kỹ thuật xây dựng/ Hệ thống kỹ thuật trong công trình,Tuyển thẳng/Ưu tiên,
7580201_03,Kỹ thuật xây dựng/ Tin học xây dựng,THPT,
7580201_03,Kỹ thuật xây dựng/ Tin học xây dựng,Học bạ,
7580201_03,Kỹ thuật xây dựng/ Tin học xây dựng,TSA/SPT/V-SAT,
7580201_03,Kỹ thuật xây dựng/ Tin học xây dựng,Tuyển thẳng/Ưu tiên,
7580201_04,Kỹ thuật xây dựng/ Kỹ thuật Công trình thuỷ,THPT,
7580201_04,Kỹ thuật xây dựng/ Kỹ thuật Công trình thuỷ,Học bạ,
7580201_04,Kỹ thuật xây dựng/ Kỹ thuật Công trình thuỷ,TSA/SPT/V-SAT,
7580201_04,Kỹ thuật xây dựng/ Kỹ thuật Công trình thuỷ,Tuyển thẳng/Ưu tiên,
7580201_05,Kỹ thuật xây dựng/ Kỹ thuật công trình biển,THPT,
7580201_05,Kỹ thuật xây dựng/ Kỹ thuật công trình biển,Học bạ,
7580201_05,Kỹ thuật xây dựng/ Kỹ thuật công trình biển,TSA/SPT/V-SAT,
7580201_05,Kỹ thuật xây dựng/ Kỹ thuật công trình biển,Tuyển thẳng/Ưu tiên,
7510103,Công nghệ kỹ thuật xây dựng,THPT,
7510103,Công nghệ kỹ thuật xây dựng,Học bạ,
7510103,Công nghệ kỹ thuật xây dựng,TSA/SPT/V-SAT,
7510103,Công nghệ kỹ thuật xây dựng,Tuyển thẳng/Ưu tiên,
7580205_01,Kỹ thuật xây dựng công trình Giao thông/ Xây dựng Cầu đường,THPT,
7580205_01,Kỹ thuật xây dựng công trình Giao thông/ Xây dựng Cầu đường,Học bạ,
7580205_01,Kỹ thuật xây dựng công trình Giao thông/ Xây dựng Cầu đường,TSA/SPT/V-SAT,
7580205_01,Kỹ thuật xây dựng công trình Giao thông/ Xây dựng Cầu đường,Tuyển thẳng/Ưu tiên,
7580205_02,Kỹ thuật xây dựng công trình Giao thông/ Đường sắt tốc độ cao và đường sắt đô thị,THPT,
7580205_02,Kỹ thuật xây dựng công trình Giao thông/ Đường sắt tốc độ cao và đường sắt đô thị,Học bạ,
7580205_02,Kỹ thuật xây dựng công trình Giao thông/ Đường sắt tốc độ cao và đường sắt đô thị,TSA/SPT/V-SAT,
7580205_02,Kỹ thuật xây dựng công trình Giao thông/ Đường sắt tốc độ cao và đường sắt đô thị,Tuyển thẳng/Ưu tiên,
7580213_01,Kỹ thuật Cấp thoát nước/ Kỹ thuật nước - Môi trường nước,THPT,
7580213_01,Kỹ thuật Cấp thoát nước/ Kỹ thuật nước - Môi trường nước,Học bạ,
7580213_01,Kỹ thuật Cấp thoát nước/ Kỹ thuật nước - Môi trường nước,TSA/SPT/V-SAT,
7580213_01,Kỹ thuật Cấp thoát nước/ Kỹ thuật nước - Môi trường nước,Tuyển thẳng/Ưu tiên,
7520320,Kỹ thuật Môi trường,THPT,
7520320,Kỹ thuật Môi trường,Học bạ,
7520320,Kỹ thuật Môi trường,TSA/SPT/V-SAT,
7520320,Kỹ thuật Môi trường,Tuyển thẳng/Ưu tiên,
7520309,Kỹ thuật vật liệu,THPT,
7520309,Kỹ thuật vật liệu,Học bạ,
7520309,Kỹ thuật vật liệu,TSA/SPT/V-SAT,
7520309,Kỹ thuật vật liệu,Tuyển thẳng/Ưu tiên,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,THPT,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,Học bạ,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,TSA/SPT/V-SAT,
7510105,Công nghệ kỹ thuật Vật liệu xây dựng,Tuyển thẳng/Ưu tiên,
7480201,Công nghệ thông tin,THPT,
7480201,Công nghệ thông tin,Học bạ,
7480201,Công nghệ thông tin,TSA/SPT/V-SAT,
7480201,Công nghệ thông tin,Tuyển thẳng/Ưu tiên,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,THPT,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,Học bạ,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,TSA/SPT/V-SAT,
7480201_01,Công nghệ thông tin/ Công nghệ Đa phương tiện,Tuyển thẳng/Ưu tiên,
7480201_02,Công nghệ thông tin/ An toàn thông tin,THPT,
7480201_02,Công nghệ thông tin/ An toàn thông tin,Học bạ,
7480201_02,Công nghệ thông tin/ An toàn thông tin,TSA/SPT/V-SAT,
